cnn_score,smina_score,lig_rmsd,fmax_rmsd,rank
0.926976,-9.0697,2.5518,0.7148,3
0.977741,-8.8232,4.8935,0.7640,4
0.943400,-8.5832,2.4034,0.7593,5
0.953077,-7.9189,5.1970,0.7461,6
0.839835,-7.6497,4.8227,0.7737,7
0.013999,-6.8692,13.6366,0.7369,8
0.022651,-6.7553,13.3273,0.7431,9
0.993050,-10.6123,0.5390,0.6779,1
0.978956,-9.5475,4.7661,1.1518,2
0.983540,-8.3377,2.6956,1.3573,3
0.984466,-7.5722,2.6506,0.7813,1
0.983860,-7.5115,2.6365,0.7827,2
0.988899,-7.4367,0.4390,0.8104,3
0.071289,-4.8840,15.5079,1.0056,4
0.969403,-7.7375,0.5998,0.6585,1
0.953690,-7.7061,0.9636,0.6689,2
0.980451,-7.4734,5.1112,0.6768,3
0.028729,-4.8627,14.1991,0.6668,4
0.032739,-4.8127,13.7283,0.0159,5
0.998331,-6.5899,1.4531,0.0628,1
0.998158,-6.5816,1.4859,0.8031,2
0.995038,-5.4018,4.2553,0.7386,3
0.990865,-4.6577,3.8262,1.0480,4
0.663829,-3.9870,14.5251,0.1285,5
0.273199,-3.9604,12.8314,0.7102,6
0.206603,-3.7401,15.3072,1.0241,7
0.562506,-3.6648,15.1786,1.0241,8
0.013843,-9.3133,2.6722,2.7450,10
0.610603,-9.2740,1.4337,2.9743,11
0.050636,-9.2557,8.2353,2.5141,12
0.076146,-9.0263,2.2071,2.7007,13
0.010513,-8.9436,5.5664,2.3459,14
0.147937,-8.8439,2.8504,3.0988,15
0.026777,-8.8376,4.3172,2.5177,16
0.003505,-8.4756,7.8139,1.8449,17
0.006310,-8.1665,5.6566,2.8011,18
0.003687,-7.9541,6.4212,1.9714,19
0.077678,-10.0866,7.6612,2.5140,1
0.261584,-7.9423,4.4210,1.7556,20
0.172134,-10.0096,9.6117,2.5166,2
0.122782,-9.8778,2.1826,2.5562,3
0.230038,-9.8635,2.9792,2.5582,4
0.138473,-9.8186,9.8843,3.2330,5
0.019574,-9.7691,3.2786,2.5313,6
0.136132,-9.6824,2.2041,2.5111,7
0.006967,-9.4181,3.2580,2.8061,8
0.037181,-9.3318,9.7304,2.6955,9
0.022152,-10.3700,6.7787,2.1177,10
0.023095,-10.0943,6.2676,2.2934,11
0.003057,-10.0346,7.1563,3.7292,12
0.004158,-9.9731,7.8617,2.6886,13
0.000453,-9.9679,5.4924,2.7066,14
0.003048,-9.9674,10.4265,3.1508,15
0.001098,-9.9183,6.5173,2.1681,16
0.001789,-9.8270,6.8628,3.4511,17
0.000825,-9.7801,7.0769,2.7758,18
0.007107,-9.7031,6.8341,2.4374,19
0.018112,-11.4081,9.1106,3.0216,1
0.007739,-9.5661,3.9987,3.4154,20
0.014293,-11.1357,9.0769,2.9509,2
0.012488,-11.0977,9.1818,3.1698,3
0.020038,-10.9121,9.0310,3.1919,4
0.009314,-10.7696,10.0551,2.6530,5
0.032867,-10.6615,9.1534,2.8576,6
0.013423,-10.6088,8.9267,2.2141,7
0.000459,-10.3781,4.4059,2.9884,8
0.002265,-10.3740,6.6820,1.5460,9
0.000499,-4.1188,11.3379,1.3181,10
0.009154,-4.0540,15.0043,1.0716,11
0.108012,-3.9808,4.5749,1.0898,12
0.002841,-3.9328,15.0033,1.3163,13
0.007104,-3.9179,14.4216,1.5351,14
0.004719,-3.9031,11.6717,1.5547,15
0.031837,-3.7013,2.9499,1.5257,16
0.003642,-3.6081,13.1665,1.3110,17
0.036553,-3.3862,4.9298,1.0888,18
0.007503,-3.3171,11.7198,1.0700,19
0.808175,-6.2836,3.1670,1.1140,1
0.673663,-6.2094,2.4536,0.5817,2
0.659087,-4.8266,4.7755,1.1534,3
0.021337,-4.4289,1.8633,1.3110,4
0.024748,-4.4228,2.7010,1.0833,5
0.003620,-4.2334,12.6220,1.5717,6
0.039229,-4.1982,13.3575,1.0829,7
0.050084,-4.1891,4.1797,1.7728,8
0.000653,-4.1306,11.2773,1.0394,9
0.968914,-25.5588,0.3415,0.8351,1
0.000149,-15.9454,10.5458,2.6780,10
0.011878,-15.9105,17.0738,2.9580,11
0.000917,-15.8120,15.7237,2.9268,12
0.000005,-15.6712,7.6041,3.0687,13
0.000151,-15.5552,15.1237,2.2048,14
0.006099,-15.5021,15.2204,2.9504,15
0.003306,-15.4807,13.5189,2.9205,16
0.012933,-15.4523,17.8672,1.2531,17
0.000381,-15.3050,11.1523,1.1579,18
0.000184,-15.3040,10.2790,3.0670,19
0.011904,-16.8940,7.1083,3.3086,1
0.000001,-15.2647,12.5147,2.5175,20
0.014422,-16.8119,16.0062,2.2159,2
0.042424,-16.1807,14.4444,1.7541,3
0.014892,-16.1399,17.2862,2.9301,4
0.009799,-16.1180,3.9754,2.8479,5
0.002903,-16.0718,8.4728,2.1615,6
0.005976,-16.0085,16.6852,2.9146,7
0.001863,-15.9801,11.2449,2.8896,8
0.016127,-15.9496,12.3809,2.9321,9
0.999492,-12.4646,0.7576,1.1307,1
0.886453,-11.1751,7.0777,1.0492,2
0.981866,-10.4690,3.8205,1.5330,3
0.523425,-9.6924,7.7651,1.1843,4
0.338305,-9.6177,8.3148,1.3424,5
0.999931,-14.8844,0.2520,1.2745,1
0.309124,-12.1762,6.6382,2.3318,2
0.991733,-12.0701,6.2872,1.2781,3
0.959014,-11.9714,6.4546,2.3282,4
0.998644,-13.0152,0.9007,0.6518,1
0.976515,-10.9673,5.8245,1.2809,2
0.519289,-10.7616,6.6938,1.1300,3
0.364605,-10.4758,6.4980,3.6346,10
0.256652,-10.3462,0.9185,3.6335,11
0.055211,-9.9145,6.6757,3.6388,12
0.511734,-9.7766,10.1759,3.0003,13
0.033772,-9.5368,6.6879,2.7850,14
0.042632,-9.5199,3.4321,3.6362,15
0.020441,-9.3983,7.0310,4.0186,16
0.012080,-9.0176,5.7886,3.5709,17
0.061851,-8.9388,7.3836,3.6520,18
0.005314,-8.8940,12.3142,3.0093,19
0.857750,-11.7984,2.3145,2.6207,1
0.019598,-8.8160,11.7243,3.0144,20
0.722504,-11.3911,2.6170,3.6371,2
0.017260,-11.2388,6.6629,2.1979,3
0.885485,-11.2339,2.6560,1.2621,4
0.463952,-10.9902,6.4403,3.6349,5
0.778749,-10.8371,4.0069,3.7048,6
0.442988,-10.8302,5.8250,3.6351,7
0.459415,-10.8114,1.0953,3.1867,8
0.113251,-10.5799,3.7280,3.6355,9
0.300297,-18.2354,1.5223,2.4271,1
0.392242,-18.1139,2.1867,2.0612,2
0.190565,-17.2857,7.7680,1.9399,3
0.701140,-17.1876,3.6626,3.2701,4
0.479950,-15.8267,2.3283,2.2401,5
0.038195,-15.5809,7.0258,2.3882,6
0.343146,-15.5338,3.9546,2.6839,7
0.009019,-15.2979,5.0253,2.8303,8
0.189195,-15.2928,4.1575,1.2854,9
0.081625,-15.7468,2.6153,2.4606,10
0.012659,-15.6043,5.5415,1.5453,11
0.004417,-15.4265,9.1402,3.2002,12
0.006960,-15.3944,9.8119,3.3544,13
0.485862,-15.2253,4.1136,3.2113,14
0.005429,-15.0570,11.6724,3.2279,15
0.002941,-15.0151,9.4585,3.2308,16
0.047553,-14.7160,9.4056,3.3042,17
0.493832,-17.6954,0.7885,2.4006,1
0.047898,-16.9562,9.1194,1.6857,2
0.012780,-16.8223,9.2590,1.9640,3
0.003537,-16.7172,9.1722,3.1974,4
0.006506,-16.2485,9.1313,2.0404,5
0.004073,-16.1972,7.8910,2.4453,6
0.047847,-16.1127,10.0038,2.3505,7
0.472021,-16.0597,3.5015,3.2163,8
0.042001,-15.9909,4.2548,2.6035,9
0.999293,-13.4975,0.9266,1.2503,1
0.952224,-11.6672,5.6376,1.2515,2
0.159470,-10.8157,7.1754,2.0394,3
0.635522,-10.7948,6.7518,1.2511,4
0.994957,-14.3077,0.5518,1.3094,1
0.794830,-13.1477,5.5821,1.3095,2
0.169652,-12.7700,6.6794,1.3095,3
0.283940,-11.9429,7.7316,1.3085,4
0.442002,-11.6402,7.8255,2.2717,5
0.040109,-6.0378,7.5773,2.5501,10
0.260185,-6.0181,7.1661,1.8256,11
0.001035,-5.6576,11.3222,1.7885,12
0.013844,-5.6428,9.0858,1.7732,13
0.040560,-5.3882,2.8192,1.7359,14
0.000228,-5.3184,11.0175,1.7402,15
0.103809,-5.3160,15.7901,1.7886,16
0.020980,-5.2886,8.6524,0.3888,17
0.046514,-5.1811,5.7972,1.7672,18
0.000543,-5.1214,6.1862,1.7898,19
0.967704,-7.4859,4.1774,0.5048,1
0.000959,-4.9684,10.1917,0.4030,20
0.918539,-7.3465,0.9492,0.4226,2
0.897233,-7.1900,2.5661,0.7758,3
0.876323,-7.1641,2.6980,0.7325,4
0.740060,-7.0772,3.6458,0.3613,5
0.136070,-6.6887,4.2270,1.7914,6
0.577866,-6.4537,1.9948,1.7779,7
0.449450,-6.2176,4.7914,1.7769,8
0.008168,-6.0388,5.9742,1.7358,9
0.998898,-13.5812,0.5933,0.5987,1
0.289622,-12.3818,6.8988,1.1075,2
0.651379,-11.8358,7.7373,1.2963,3
0.406320,-11.3666,7.3856,0.7045,4
0.272486,-10.6477,3.9499,1.3190,5
0.825069,-10.6151,5.7043,1.3258,6
0.324573,-10.3980,2.7908,1.9658,10
0.067396,-10.3027,4.3289,0.7678,11
0.569941,-10.2018,7.4812,1.0073,12
0.282076,-9.7853,4.8340,1.4130,13
0.002247,-9.5810,15.3272,0.7640,14
0.005205,-9.4852,15.4734,1.2288,15
0.004359,-9.3858,16.1949,1.4291,16
0.009320,-9.3317,13.0797,0.7694,17
0.001789,-9.2600,13.7100,1.4692,18
0.003571,-9.1409,14.5190,0.7651,19
0.947776,-11.6531,5.9565,0.7734,1
0.002309,-9.0452,15.5009,1.4197,20
0.764530,-11.5893,4.9544,0.7660,2
0.824137,-11.4800,2.3550,0.7599,3
0.199293,-11.2462,5.7979,1.0052,4
0.856870,-11.2078,4.5096,0.7657,5
0.037895,-11.0435,4.6154,1.3008,6
0.301483,-10.9575,6.2987,1.1933,7
0.208140,-10.8656,5.4948,0.7699,8
0.129936,-10.5822,7.3829,1.4705,9
0.999985,-13.4413,0.6064,0.9118,1
0.984587,-12.1264,6.8825,1.1089,2
0.999462,-15.2000,0.9078,0.7499,1
0.868255,-14.0662,6.7852,1.0779,2
0.979268,-13.7393,5.7672,1.3534,3
0.724554,-12.3830,7.4675,1.1073,4
0.999717,-13.0267,1.0585,0.6203,1
0.930882,-11.4043,6.8503,1.1581,2
0.973197,-11.3544,5.6017,0.6831,3
0.874950,-10.1594,6.3208,1.1134,4
0.006451,-4.4200,6.4062,0.2818,10
0.149800,-4.4152,10.0258,0.0732,11
0.037072,-4.4017,4.6246,0.2198,12
0.031125,-4.3373,7.3154,0.2177,13
0.002462,-4.1187,8.3030,0.2189,14
0.016104,-3.8872,5.2327,0.2189,15
0.013919,-3.8234,11.8697,0.2192,16
0.001524,-3.7683,8.7214,0.2814,17
0.009213,-3.7353,4.2606,0.2035,18
0.059938,-3.7021,11.9810,0.2336,19
0.910571,-6.1844,3.2854,0.2254,1
0.021411,-3.6460,13.7299,0.2211,20
0.861283,-6.1769,0.8057,0.2180,2
0.209135,-5.2328,2.7250,0.2175,3
0.054508,-5.1649,4.5071,0.2367,4
0.109229,-4.7833,4.4035,0.2165,5
0.012943,-4.6729,5.1600,0.2192,6
0.002936,-4.5873,5.9887,0.0697,7
0.011167,-4.4786,6.4158,0.2191,8
0.242136,-4.4352,3.2042,0.1928,9
0.042773,-9.3665,5.8435,1.4275,10
0.099743,-9.2762,1.7013,1.6223,11
0.400146,-8.9575,2.0664,3.2460,12
0.001735,-8.8311,7.0978,0.7905,13
0.000105,-8.7711,6.7562,3.1277,14
0.073782,-8.7652,1.5501,3.2250,15
0.003720,-8.7309,4.6190,2.8377,16
0.001124,-8.6639,6.0642,3.1260,17
0.000698,-8.5660,7.7554,3.0831,18
0.000693,-8.4837,5.4245,3.1259,19
0.101712,-10.2883,1.6122,3.1313,1
0.000129,-8.4798,6.5465,3.1244,20
0.000477,-9.6769,4.6101,3.0744,2
0.004001,-9.5205,6.0923,3.1319,3
0.001122,-9.5114,6.9350,3.0872,4
0.001662,-9.4636,5.9405,3.0871,5
0.000885,-9.4630,6.6163,3.0834,6
0.000953,-9.4274,6.6308,3.1395,7
0.083798,-9.4251,1.5042,1.4397,8
0.000296,-9.3897,4.5573,3.1473,9
0.065172,-14.8471,7.4121,3.0284,10
0.255317,-14.6912,4.0640,2.9936,11
0.005096,-14.6581,4.5456,4.4629,12
0.002333,-14.6438,4.7051,4.4404,13
0.016151,-14.5430,4.2397,3.4099,14
0.004057,-14.4622,7.3467,4.4427,15
0.003205,-14.1075,6.5212,4.4489,16
0.000719,-14.0766,7.8178,4.4417,17
0.975614,-16.9996,1.4325,4.4417,1
0.979965,-16.6776,1.4300,3.1285,2
0.735476,-16.3338,1.0135,4.4407,3
0.906306,-16.1245,1.3416,4.4625,4
0.093434,-15.6643,6.5747,4.4633,5
0.164757,-15.2792,6.4529,4.4415,6
0.088436,-15.2137,6.6384,3.0753,7
0.095587,-14.9736,6.4519,4.4407,8
0.015073,-14.9314,6.7090,4.4612,9
0.000186,-10.6801,8.3248,3.0369,10
0.015840,-10.6433,8.0798,1.4721,11
0.002515,-10.5345,8.0233,2.5794,12
0.000019,-10.5246,7.5517,2.0655,13
0.000000,-10.3527,7.7918,2.1031,14
0.000006,-10.3318,9.6757,3.5666,15
0.000001,-10.2828,8.3621,3.5419,16
0.000004,-10.2182,9.3879,3.5436,17
0.000002,-10.1882,6.4157,2.0724,18
0.000216,-10.1359,10.1051,3.5567,19
0.000118,-11.3552,6.5985,2.2414,1
0.000086,-10.0478,8.0003,3.5021,20
0.000024,-11.1261,7.5167,3.7664,2
0.000254,-11.0062,10.6955,2.2736,3
0.000027,-10.9743,7.9086,2.8268,4
0.000004,-10.9511,6.7794,2.6473,5
0.000044,-10.8011,7.7800,2.0888,6
0.001211,-10.7615,5.7467,3.2803,7
0.000002,-10.7347,10.7079,3.7072,8
0.000001,-10.7054,7.3334,2.4253,9
0.583542,-12.0491,3.6116,1.2976,10
0.247231,-11.9979,3.9634,1.2978,11
0.278170,-11.8695,5.6802,1.2976,12
0.285254,-11.8017,6.4763,2.1893,13
0.297885,-11.7574,4.0237,1.2974,14
0.176389,-11.5787,8.5308,1.2975,15
0.635528,-11.5045,6.5106,2.9130,16
0.009419,-11.4631,12.1045,1.2975,17
0.031439,-11.1821,9.7293,1.4114,18
0.235361,-11.0818,6.6791,1.4206,19
0.888177,-13.4997,6.4087,1.4234,1
0.267430,-11.0239,7.4460,1.2976,20
0.639970,-13.3865,6.4426,1.2979,2
0.859087,-13.1685,6.6417,1.4291,3
0.323771,-13.0341,5.8252,1.2977,4
0.764424,-12.7388,2.4843,1.2969,5
0.328616,-12.6226,2.2591,1.2974,6
0.872818,-12.3699,3.9573,1.4498,7
0.653547,-12.3168,0.6725,1.4160,8
0.342980,-12.2633,7.0246,1.2971,9
0.000008,-10.9058,8.3133,2.1082,10
0.000010,-10.8241,5.2164,1.0825,11
0.000000,-10.7465,9.1965,1.7479,12
0.000007,-10.6074,6.6827,1.3241,13
0.000002,-10.4600,10.3919,1.9679,14
0.000000,-10.3832,6.2540,2.1536,15
0.000005,-10.2319,6.3552,1.2191,16
0.000000,-10.1510,9.4487,1.5126,17
0.000002,-10.1272,7.3295,2.1338,18
0.000004,-10.1043,8.0054,2.1455,19
0.000038,-11.5842,4.6938,0.9456,1
0.000295,-9.9531,3.3014,1.2270,20
0.000008,-11.3292,4.9791,1.1583,2
0.000018,-11.2960,5.3395,0.9400,3
0.000008,-11.0742,6.4306,1.2500,4
0.000122,-11.0632,5.3895,1.5247,5
0.000011,-11.0256,6.4716,2.1869,6
0.001698,-11.0147,6.1338,1.6655,7
0.000010,-10.9930,6.0212,1.9694,8
0.000004,-10.9170,8.7437,2.3485,9
0.000379,-18.2559,6.4419,2.8900,10
0.003143,-18.2465,6.6566,1.2846,11
0.003409,-18.1422,6.4681,2.4174,12
0.002292,-18.1211,7.2039,2.6265,13
0.000736,-18.0209,6.3922,3.0692,14
0.011200,-17.9116,6.4472,3.2315,15
0.002455,-17.8688,6.2721,2.9669,16
0.209964,-17.8533,2.7568,3.0219,17
0.005224,-17.8332,5.0164,2.6027,18
0.001976,-17.7853,6.2413,2.9114,19
0.209517,-18.7648,1.9101,3.0893,1
0.070421,-17.6417,2.8454,2.7256,20
0.002478,-18.6450,5.0344,2.6579,2
0.166806,-18.6123,3.5556,2.8902,3
0.001633,-18.5931,5.0425,2.9371,4
0.001240,-18.4669,6.3765,2.8100,5
0.049110,-18.4302,2.4490,2.8477,6
0.003341,-18.4110,4.7320,2.9352,7
0.340626,-18.3331,1.7065,1.2720,8
0.003146,-18.2782,6.2633,3.2499,9
0.041237,-5.1876,14.1447,2.3940,10
0.040653,-5.1812,12.8531,2.3737,11
0.001347,-5.0803,6.6331,0.8783,12
0.009087,-5.0769,5.3339,2.1800,13
0.090648,-5.0330,13.9942,2.4762,14
0.007033,-5.0019,12.8337,1.0743,15
0.001481,-4.8460,6.8638,2.3889,16
0.000264,-4.8129,6.5209,1.2716,17
0.000671,-4.7062,6.6794,1.2097,18
0.019924,-4.6885,12.1008,1.3278,19
0.007188,-5.8276,13.6896,1.1780,1
0.241203,-4.6274,15.1260,1.1277,20
0.002126,-5.5217,11.9872,1.2602,2
0.008530,-5.4005,14.7365,1.2374,3
0.094814,-5.3800,14.0291,1.1118,4
0.004111,-5.3291,9.2479,0.9180,5
0.074242,-5.2902,13.9072,1.1027,6
0.008040,-5.2540,14.4481,1.1740,7
0.003238,-5.2442,13.8777,1.1126,8
0.074723,-5.2291,12.6769,1.5913,9
0.096254,-9.4886,8.1013,1.9272,10
0.008131,-9.3846,17.0517,1.9409,11
0.091876,-9.3259,6.8481,3.3901,12
0.048814,-9.2435,4.2961,3.3952,13
0.002746,-8.7959,7.4796,1.5828,14
0.002656,-8.4247,7.5994,1.9154,15
0.033502,-8.1435,7.9775,1.4211,16
0.002259,-8.0876,16.3939,1.9368,17
0.340215,-10.9404,0.4553,1.3278,1
0.048570,-10.7494,7.0433,1.8888,2
0.122795,-10.3329,4.0119,1.9363,3
0.055356,-10.0601,6.8014,1.9401,4
0.028508,-9.9495,7.6414,1.9483,5
0.245387,-9.6133,5.3765,1.9600,6
0.011202,-9.6049,3.3026,1.2876,7
0.029593,-9.5831,6.9280,1.8793,8
0.008529,-9.5588,3.0537,1.1812,9
0.267072,-9.8938,6.0290,2.2479,10
0.002310,-9.7137,10.2699,1.1077,11
0.001540,-9.7033,10.5627,1.1117,12
0.002684,-9.6439,8.5333,0.9717,13
0.982775,-12.4377,0.6656,0.6480,1
0.002831,-11.2461,6.0229,0.7412,2
0.236194,-11.2019,6.0308,0.7780,3
0.005023,-10.8756,8.6878,0.6885,4
0.006837,-10.8418,6.1890,0.8406,5
0.004141,-10.4883,6.0199,0.7805,6
0.002082,-10.3485,7.7043,0.6866,7
0.001847,-10.3362,5.5574,0.9862,8
0.021814,-9.8952,6.7381,1.6591,9
0.032922,-10.8267,6.7940,2.6086,10
0.019549,-10.7423,4.7763,2.3866,11
0.013042,-10.6323,4.8018,2.2433,12
0.000201,-10.6276,5.6918,2.3532,13
0.005393,-10.5445,7.6516,1.7639,14
0.004355,-10.4861,7.4939,1.5471,15
0.000416,-10.4168,7.9824,2.3502,16
0.002864,-10.4018,5.8021,2.2491,17
